"","location","continent","date","people_fully_vaccinated","people_fully_vaccinated_per_hundred","new_cases","new_deaths","new_deaths_per_million"
"1","Afghanistan","Asia",2021-05-11,55624,0.14,340,12,0.301
"2","Afghanistan","Asia",2021-05-20,77560,0.19,453,10,0.251
"3","Afghanistan","Asia",2021-05-24,96910,0.24,547,10,0.251
"4","Afghanistan","Asia",2021-05-26,111082,0.28,840,19,0.477
"5","Afghanistan","Asia",2021-05-27,113739,0.29,623,14,0.351
"6","Afghanistan","Asia",2021-05-30,119926,0.3,650,20,0.502
"7","Afghanistan","Asia",2021-06-02,144600,0.36,1049,34,0.854
"8","Afghanistan","Asia",2021-06-03,148505,0.37,1093,27,0.678
"9","Afghanistan","Asia",2021-06-08,158343,0.4,1485,64,1.607
"10","Afghanistan","Asia",2021-06-14,177266,0.44,1597,85,2.134
"11","Afghanistan","Asia",2021-06-22,183762,0.46,1847,78,1.958
"12","Afghanistan","Asia",2021-06-27,186260,0.47,1096,56,1.406
"13","Afghanistan","Asia",2021-06-30,187654,0.47,1501,77,1.933
"14","Afghanistan","Asia",2021-07-05,189322,0.48,1189,84,2.109
"15","Afghanistan","Asia",2021-07-07,199250,0.5,1557,55,1.381
"16","Afghanistan","Asia",2021-07-11,219159,0.55,801,86,2.159
"17","Afghanistan","Asia",2021-08-20,430744,1.08,37,7,0.176
"18","Afghanistan","Asia",2021-11-14,3188609,8,42,1,0.025
"19","Afghanistan","Asia",2021-12-27,3753224,9.42,16,0,0
"20","Afghanistan","Asia",2022-01-09,3809353,9.56,72,4,0.1
"21","Afghanistan","Asia",2022-01-11,3814837,9.58,77,1,0.025
"22","Afghanistan","Asia",2022-01-13,3823786,9.6,91,0,0
"23","Afghanistan","Asia",2022-01-17,3832821,9.62,109,2,0.05
"24","Afghanistan","Asia",2022-01-19,3836731,9.63,96,3,0.075
"25","Afghanistan","Asia",2022-01-24,3851307,9.67,247,0,0
"26","Afghanistan","Asia",2022-01-26,3866279,9.71,440,4,0.1
"27","Afghanistan","Asia",2022-01-27,3868832,9.71,312,2,0.05
"28","Afghanistan","Asia",2022-01-31,3892831,9.77,815,6,0.151
"29","Afghanistan","Asia",2022-02-02,3912336,9.82,635,1,0.025
"30","Afghanistan","Asia",2022-02-07,3959887,9.94,733,10,0.251
"31","Afghanistan","Asia",2022-02-14,4043580,10.15,642,7,0.176
"32","Afghanistan","Asia",2022-02-20,4125717,10.36,274,5,0.126
"33","Afghanistan","Asia",2022-02-27,4231984,10.62,249,8,0.201
"34","Afghanistan","Asia",2022-03-06,4281934,10.75,251,1,0.025
"35","Afghanistan","Asia",2022-03-17,4402868,11.05,175,0,0
"36","Afghanistan","Asia",2022-03-22,4420127,11.1,64,2,0.05
"37","Afghanistan","Asia",2022-04-04,4532577,11.38,70,0,0
"38","Afghanistan","Asia",2022-04-14,4595506,11.54,57,0,0
"39","Afghanistan","Asia",2022-04-18,4603187,11.56,39,1,0.025
"40","Afghanistan","Asia",2022-04-26,4636946,11.64,24,0,0
"41","Afghanistan","Asia",2022-04-27,4637327,11.64,40,0,0
